Accuracy ,0.774647887,,
neutral,,,97 days have passed @KenOfGlobe @DeniseOfGlobe @talk2GLOBE #nganga #zipmouth #iampatient #iloveglobe #justcounting. Di ako nagpafollow-up. 
negative,,,WALA NA BANG IHIHINA SIGNAL NYO @talk2GLOBE 
negative,,,@talk2GLOBE hello. Just want to say that manual choosing of network works. I already have a signal. Thanks :) @HarryOfGlobe @enjoyGLOBE 
negative,,,TANG INA GLOBE @talk2GLOBE PATAPUSIN NYO NAMAN DINADOWLOAD KO KAHIT ISANG BESES LANG PUCHA http://t.co/ZRvIA5rnt9 
positive,,,Thank you Globe Telecom for my free Blackberry! Im back BBM world! #LoyaltyProgram #GlobeReward÷ http://t.co/RDLZn804zv 
negative,,,@talk2GLOBE Sent. I hope that's the last thing I need to do. It's taking too long. Tired of tweeting different supports. Please resolve:( 
positive,,,@talk2GLOBE no I think its okay by now. Thank you. 
neutral,,,@talk2GLOBE This has been going on for a month now and have reported this a week ago. 3G is on but connection is unstable. 
neutral,,,Gosh wla nman ulan pero ang signal nyo parang pagong @talk2GLOBE 
neutral,,,@talk2GLOBE it is ok now 
negative,,,@talk2GLOBE please do. Been waiting since March. 
negative,,,RT @ohcrapitsval: WALA NA BANG IHIHINA SIGNAL NYO @talk2GLOBE 
negative,,,"Internet users around globe find US snooping unsurprising, but still worry about trend [#Telecom] http://t.co/HtjCt5svuL "
neutral,,,"Globe is my Favorite, namana ko pa yan sa lola ko , hahaha !!  @enjoyGLOBE "
neutral,,,@alyaaalwadi nakita ko dun sa tweet mo sa talk2globe haha 
negative,,,RT @joshalipe: buti pa yung @enjoyglobe alam yung cellphone number mo.kailan ko din kaya malalaman yung numb... Û HAHAHAHA! Benta! http://t÷ 
negative,,,Huhu what's wrong bakit di pa na-activate yung sim ko :( @enjoyGLOBE :( 
neutral,,,@talk2GLOBE Hi! Any feedbacks? 
positive,,,"@iam_MRT Got your DM to talk2GLOBE, Row. I'll check on your BB services. Kindly DM us as well your mobile # for further checking. Thanks! "
neutral,,,"@talk2GLOBE - P1, 800. "
neutral,,,@talk2GLOBE it's been over 48 hours and the microsim of my phone is still not activated. 
negative,,,"@talk2GLOBE Yup, and it always takes so long. "
neutral,,,Ganda ganda ng speed ng #GlobeBroadband @enjoyGLOBE 
neutral,,,@KenOfGlobe @talk2GLOBE cant call cant receive texts 
neutral,,,"#Globe Better Connection, Better Communication and Best Telecom Company. kaya ikaw? abot mo naba ang mundo mo? #GlobeUserAko "
neutral,,,@talk2GLOBE Yeah 
positive,,,@JenOfGlobe thanks! Sent my number to @talk2GLOBE via DM. 
negative,,,i can't connect to live chat @talk2GLOBE 
negative,,,@talk2GLOBE hi! i can't connect to live chat. 
negative,,,"@talk2GLOBE i spoke to some of my neighbors who are also Globe subs, apparently they are connected to a diff ""line"" n not havin problems . "
neutral,,,@talk2GLOBE is it possible to get my line changed/transferred? The one I have is completely unreliable and unbearable. TY. 
positive,,,@talk2GLOBE  dm'ed u..naguguluhan ako about my bill..thanks 
negative,,,Sana naman maayos na ung pagppdala ng postpaid bill.s sobrang late ksi.hndi na alam ung kng ano babayaran @talk2GLOBE 
negative,,,"@talk2GLOBE @KhianneRoss Khiane, dumerecho ka nlng sa Cx Service rep nila. Walang kwenta twitter acct ng globe. Issue NOT resolved palagi. "
neutral,,,"@talk2GLOBE yes!!! ""No Service"" for marikina area.. @YuriIsaac_ "
positive,,,Nag dm po ako s inyo @talk2GLOBE thanks. 
neutral,,,@lex_ako And besides I only tried two networks! I don't want to name the other one but for sure the other one is @enjoyGLOBE! ^_^ 
neutral,,,@talk2GLOBE installers stlil have not returned. been trying to get this completed since march 2013. pls adviseÜ 
neutral,,,@talk2GLOBE my sim is blocked for your promos Unlitxt and supertext ? :( 
negative,,,Thank you Globe for the constant unnecessary stress you provide me :) @enjoyglobe 
positive,,,@talk2GLOBE hi goodmorning pls check this number 09279026 it is active until now thanks 
neutral,,,"Please, ayoko na makita to sa next bill. 3rd time na. RT @wreckitdana: @talk2GLOBE Follow up on ref 50505491 please. "
negative,,,@enjoyGLOBE  the slowest mobile activation in the history of Philippine telecom. It's been 1 week and my plan still hasn't been activated! 
negative,,,Yari saken tong Globe na to mamaya! Poor service!!! @talk2GLOBE @enjoyGlobe 
positive,,,@talk2GLOBE Yes. :) 
negative,,,@talk2GLOBE hindi n simula lng nung umulan 
positive,,,@talk2GLOBE  oh thanks by the way. i just an approval from your good store last thur. i hope i can get i today. :) 
neutral,,,"@AbbieReal: That awkward moment when they promoted the #BlackBerryZ10 using Twitter for iPhone'Oh well. http://t.co/gxMrORR1Ik""--@enjoyGLOBE "
neutral,,,"@AbbieReal: LOL! RT @elvinelvinelvin: LOL. When talk2Globe attended to Mon Isberto's concern. http://t.co/H9c0Y5uOUS""--hey ate @JoyceOfGlobe "
positive,,,"@overLLOYD @nikka_gail @enjoyGLOBE @JeromeAdel 1 month processing dyan ng prize, follow up kayo sa mga Globe online specialists :) "
neutral,,,Hi pls do reply @talk2GLOBE 
negative,,,@NelskiOfGlobe @talk2GLOBE  subscribed to your BDU but can't connect with your partner. 55 USD wasted! can I get a refund ? 
neutral,,,@StephOfGlobe @talk2GLOBE followed!! 
negative,,,Wow! Pati #Talk2globe Chat mabagal pa din? Anyare?? #globe 
neutral,,,@talk2GLOBE 50256958. This was from the very first time I called last April 30. 
negative,,,@talk2GLOBE bat ganun? Naka unlisurf ako pero di parin ako makapasurf tapos noong mag balance check ako ay wala nang tira sa extra load ko. 
neutral,,,@talk2GLOBE PLS activate my simcard. 09162256020. ATTN Globe store SM North 
negative,,,"@talk2GLOBE i donnu whats goin on with your network ,But my phone works fine with Smart...hmmmmm #GlobeSucksAsAlways :) "
negative,,,"@itsmeVA5N @talk2GLOBE oo nga . liamng broadband na na sira ko . f my signal lg dto sa smart , d nako sisiksik sa lang kwentang globe . "
negative,,,@talk2GLOBE anu pang screen shot na kailangan nio . my screen shot na aq jan . tongue ina . pati yong help service mahina din ? sama2 kyo ! 
negative,,,@talk2GLOBE   Anong magagawa mo para maactivate yung simcard na nabili ko s Globe SM North.09162256020 
negative,,,"Hi @talk2GLOBE. As a current postpaid subscriber, what can I do to change my subscription to another maintaining the same MSF? "
negative,,,@talk2globe stop telling me to wait for A MINUTE OR TWO I've been on hold for 30 mins for a single line upgrade request!! Bad CS! 
negative,,,"Hi @talk2GLOBE. As a current BlackBerry postpaid subscriber, what can I do to change my subscription to another maintaining the same MSF? "
neutral,,,Anong unli service s globe pwede gamitin 3g? @DeniseOfGlobe @enjoyGLOBE 
negative,,,@talk2GLOBE i. Jst got my MSP Unlisurf plan in S4 and its activated already. But i cant surf without bring connected to our home wifi. Help? 
neutral,,,@talk2GLOBE i just got my MSP unlisurf plan in s4. But i cant seem to surf without being connected to our home wifi. Am i missing something? 
neutral,,,"@talk2GLOBE hi, how much does it cost if i change my number? I am receiving prank calls and text from this number and i'm planning to change "
positive,,,"@aileen0329 sa Globe telecom po, :) "
neutral,,,@talk2GLOBE How many follow-ups do you guys need to make? More than a hundred? Its been 3 weeks of doing follow-ups FYI. 
neutral,,,@enjoyGLOBE pde po bang magapply ng plan kahit student plng? Saka pde po ba yung prepaid number parin ang gamitin? 
neutral,,,"I'm at Globe Telecom (Iloilo City, Iloilo) http://t.co/eMRt0gsbzG "
negative,,,OMG. Lumakas 3G signal ng Globe sa bahay namin. Madalas kasi E lang. Haha! Yey yey yey @talk2globe 
negative,,,@KhianneRoss @talk2GLOBE Correct. Nakakainis ung twitter acct. derecho ka nalang sa hotline nalang. 
neutral,,,What is going on with Globe? My phone's signal is fluctuating since yesterday. @enjoyGLOBE 
negative,,,Wala na namang signal ung iPhone ko! What's happening @Talk2Globe ? 
neutral,,,Ung iba nre2plyan nyo at ako hndi khit katitingin !!!@talk2GLOBE ???? 
neutral,,,Bka pwed reply skin??? @talk2GLOBE 
negative,,,My Internet connection Sucks! @talk2GLOBE @KenOfGlobe HELP! 
neutral,,,@talk2GLOBE service resumed late last night. 
neutral,,,@talk2GLOBE Do I reaaaaally have to repeatedly turn on and off every now and then my signal just to refresh my 3G? 
negative,,,@itsmeVA5N @talk2GLOBE ganun din tol . wulang magawa . hinahanap ko yung 4g . wulangwula ee . kbps lg yung takbo . g-r-r-r-r 
neutral,,,@talk2GLOBE 09178242343 79646117 SHERWIN P PASCUA 10-10-1981 PRADO 
negative,,,"@talk2GLOBE Hi Globe! How come new plan inquiries get connected immediately but existing plan subscribers hear abt ""high volume"" of calls?:( "
negative,,,Downloaded an episode of Teen Wolf in just 6 minutes. I'm loving the speed of LTE! :) #BlazingLTE @talk2GLOBE 
positive,,,You can make Charice as your GlobeTatoo model :)@talk2GLOBE http://t.co/7PPbE8AIC0 
neutral,,,@talk2GLOBE Please bring my line back to line its been down since friday 7pm 
positive,,,@talk2GLOBE i sent a DM to you about my billing statement. Thanks :) 
negative,,,"@talk2GLOBE I've tried this experiment already for 2 days. Still can't get through as soon as the ""new plan"" CSR leads me back to main menu. "
positive,,,RT @chastervia: You can make Charice as your GlobeTatoo model :)@talk2GLOBE http://t.co/7PPbE8AIC0 
negative,,,@KhianneRoss @talk2GLOBE awts. Depende sa lugar din yata ung 4G signal. Wala bang signal dyan ang @SMARTCares ? Maganda offer nila 4G/LTE 
neutral,,,Anyone from @talk2GLOBE I can talk to? 
negative,,,"Ang hina ng signal dito sa Lipa, lagi na lang naka E imbis na 3G @talk2GLOBE "
positive,,,@talk2GLOBE i sent a DM to you :) 
neutral,,,"@talk2GLOBE Since 211, 143 and globe/myportal isn't working for me, how can I know the outstanding balance of my plan? "
neutral,,,@enjoyGLOBE hi! Can i block a stolen sim card from here? 
negative,,,@talk2GLOBE still nothing.. 
neutral,,,@talk2GLOBE can please verify this current connection speed that is under our account? we have 2mbps plan fyi. :( http://t.co/BJbP94azak 
neutral,,,"@itsmeVA5N @talk2GLOBE @SMARTCares parang wula , d q pa nasubukan tol . pro sana mag mbps lg yung takbo . 1km lg yung cell site dto ng globe "
neutral,,,@TemOfGlobe pls follow me so i can send you a DM - or shall we chat via @talk2GLOBE? 
negative,,,"@talk2GLOBE  Mirasol Bullos may tumawag po, qualified n daw po ako for plan coz i have an existing broadband account with globe for 3 yrs "
neutral,,,@talk2GLOBE No 
neutral,,,@talk2GLOBE @KenOfGlobe any updates? 
negative,,,Thank you @enjoyGLOBE  for your cust care reps incompitence 
neutral,,,"I meant ""had"" in my previous tweet to @enjoyGLOBE "
neutral,,,NO ONE'S ANSWERING MY GLOBE CONCERN!!! @talk2GLOBE :( 
neutral,,,"'di maaasahan ang internet mo, @enjoyGlobe! boo! "
negative,,,Thank you @enjoyGLOBE for your cust care reps incompetence and i get 2 month free service! #nojoy  #WhatIWantIGet 
neutral,,,@talk2GLOBE follow me plss tnx 
negative,,,"@talk2GLOBE i only have this numbers nung tumawag 09998871090 (8:50 pm) and for confirmation its 09998871091 (9:11 pm), thank you po "
neutral,,,@talk2GLOBE follow back plss tnx 
negative,,,@KhianneRoss @talk2GLOBE @SMARTCares HAHA! Lokohan yun cell site ampota. HAHA! 
negative,,,@talk2GLOBE bad trip na msyado connection nyo BB subscription ko!! 
positive,,,@talk2GLOBE I sent a DM. Please reply with my concern. Thanks 
neutral,,,@KenOfGlobe hi! I think you might be the 3rd @talk2GLOBE agent to reach out. None of them have produced any results. Will dm u details. 
neutral,,,Enjoy Globe Telecom Inc.'s TV Commercial! 
neutral,,,And i've worked with globe telecom before. So which is it going to be? 
neutral,,,@talk2GLOBE done! 
neutral,,,@StephOfGlobe is there really an investigation? It's been almost a month now & not a single feedback you promised materialized. @talk2GLOBEÜ 
negative,,,RT @itsmeVA5N: @KhianneRoss @talk2GLOBE @SMARTCares HAHA! Lokohan yun cell site ampota. HAHA! 
positive,,,Hello @talk2GLOBE how can i check my remianing free call and text sa plan ko????? 
neutral,,,@talk2GLOBE Sir good day. I have Plan Premium Broadband Bundle 1299 @2Mbps Globe Wimax with Phone this June 7 my speed is still 512kbps 
negative,,,@Boo_ninss @talk2globe my friend here has a problem. Kindly assist her. Thanks! 
positive,,,@talk2GLOBE @DeniseOfGlobe PM sent to you guys asking about my monthly bill. Can you please help. Thanks! :) 
positive,,,"@talk2GLOBE Oh sure, thank you :) "
neutral,,,@talk2GLOBE HELP ME WITH MY BLACKBERRY REPLACEMENT CONCERN!! DM ME! 
neutral,,,Christian joseph a. Alcober 
negative,,,@StephOfGlobe i sent a dm to @talk2GLOBE :(( used it for a yr na! Nwala lng when i left the country:( 
positive,,,@talk2GLOBE hi! Any updares? Pls check your dm. Thanks!:( 
neutral,,,@talk2GLOBE do you have network prob in Bulacan? My connection is acting weird! Late msgs and unable to connect! Kindly fix! 
negative,,,@talk2GLOBE not answering my tweet and dM ;( 
neutral,,,@talk2GLOBE can globe offer also what SUN can offer?like their P200 promo 
neutral,,,"@talk2GLOBE that's 200 for month w/ 500txt to other netwrk, 240 mins call Sun-Sun & unlitxt to Sun "
neutral,,,RT @GaaraArcher: Got the htc one at Globe SM Aura in just 50 minutes. Very professional and friendly employees @enjoyGLOBE  #kudos http://t÷ 
neutral,,,GLOBE IS NOW GIVING ME A HEADACHE!  :(( @talk2GLOBE 
neutral,,,@talk2GLOBE is asking me to pay for a billing error their sytem caused. totally unacceptable. 
neutral,,,"@talk2GLOBE Hi. I need your response, please. "
neutral,,,I JUST WANT TO TALK TO A CUSTOMER SERVICE OF GLOBE FOR MY CONCERN! I TRIED EVERYTHING BUT STILL NO ANSWER! :( @talk2GLOBE 
negative,,,"@talk2GLOBE hi, how long does it take for you to investigate a problem? I reported May 22. No update til now!!! "
neutral,,,@talk2GLOBE Can u help me with billing? I recently add a superone but call and text on that number was still added on my unbilled charges. 
negative,,,@talk2GLOBE hi!Its been weeks I think since I raised my signal issues. Here's what my twitter looks like with no wifi http://t.co/kJflR1l6JC 
neutral,,,@talk2GLOBE I've placed my order for a plan upgrade last May 27. Was told to get it by June 3. Still no feedback from you. 
neutral,,,"@talk2GLOBE i now have more than 2k unbilled charges because of the superone and that would be on top of my 1799 plan, right? "
neutral,,,"@talk2GLOBE Been the one calling your customer service for days, always promising to get back to me after 24-48 hrs but you never do. "
negative,,,@talk2GLOBE sira po ba ang signal ng globe?? kagabi pa po aq walang signal nung umulan ng malakas.. 
negative,,,@talk2GLOBE ANUBAAAAA. Get your act together. Malapit na ko mainis ng tuluyan at mag cancel ng account. 
neutral,,,can u help me again about my bill for the period april 18-may 17? Can this be sent over my email again please? @talk2GLOBE 
negative,,,"Globe Telecom, ABS-CBN Network Sharing http://t.co/MyHZMDdB25 "
positive,,,"@talk2GLOBE its now activated maam. One more thing, is it free of charge if i do a local calls? its 11 digit number and not 7 digits "
neutral,,,@talk2GLOBE can they (local telephone) call me directly using a landline telephone? confuse about this one po.. thought a 7 digits number 
negative,,,"@talk2GLOBE, give me a consistent mobile signal especially when i'm having an argument. nakakadagdag ka sa init ng ulo ko e. "
neutral,,,@talk2GLOBE We got apple handsets.. But its all good now.. Service is now available 
neutral,,,Globe Telecom Inc 
neutral,,,@talk2GLOBE is your LTE for postpaid sims only? can i activate LTE in my prepaid LTE phone?thnx 
negative,,,Sunday love ?????? @talk2GLOBE #love #GLOBE #happiness #happyheart #happygirl http://t.co/4y35qI3frp 
neutral,,,"@talk2GLOBE hello,  any updates on my concern? "
neutral,,,"@talk2GLOBE 1) i rcvd my bill #2, and i really am wondering of the details. Bills 1&2 did not include surf 99, unlike bill #3. "
neutral,,,"@talk2GLOBE  2) i recall on our past convos u said i have plan 499, consumable 499. I even asked the customer svc provider in ur store and "
neutral,,,@talk2GLOBE she said i have consumable 499 plan. I am really wondering y u said plan 499 has cons 400 and surf 99 from the beginning. 
negative,,,@HarryOfGlobe @talk2GLOBE - until now there is no response from your end on my concern. 
neutral,,,"@talk2GLOBE 4)it was a coincidence wen d time i asked u wen can i hav surf 99, it was also d time it appeared on my bill. i havent asked abt "
neutral,,,I want to follow up my mobile plan application... @talk2GLOBE 
neutral,,,"@talk2GLOBE 5) it prior to the 1st 2 billings. Pls explain to me concretely y bills 1&2 did not include verbatim POWERSURF 99, and bill #3 "
negative,,,@Queen_Barubal Go lang nang GO sis. Cellphone ni FashionPulis ang may problema hindi ang @talk2GLOBE. Pls RT hangang makarating sa kanya. 
negative,,,"@talk2GLOBE 6) has already included POWERSURF 99, just when the time i inquired u abt d mobile data svc. I want u to be transparent. "
neutral,,,"@talk2GLOBE if u say ur right, then i still hold u accountable of the negligence brought abt by discrepancies in d billing statement. "
neutral,,,"@talk2GLOBE bills 1&2 have disclaimers saying my bills are unusually high, that I must register to 8888 so dat i can avail of d svc more "
negative,,,@talk2GLOBE cost-effectively.Bill #3 doesnt have that statement.I'm very keen about the least details.U owe me a long % thorough explanation 
positive,,,@enjoyGLOBE just dm'ed you... please notice.. :) thank you... #GLOBEisLOVE 
negative,,,"@talk2GLOBE it's 72hours already and it was not yet activated, do i have to worry??? "
neutral,,,@talk2GLOBE Hi Globe. Nagenerate na po ba yung bill ko? 
neutral,,,I enjoy making my new promo <3 @enjoyGLOBE #GoSakto 
negative,,,@talk2GLOBE just loaded P100 yesterday.now balance is 0.didn't make any calls just few texts.how did that happen?! I'm on bb social 30 days. 
neutral,,,3-5 days? (@ Globe Telecom) http://t.co/4kJUSI5XWU 
neutral,,,"@HarryOfGlobe okay, dm sent to @talk2GLOBE =) "
negative,,,@talk2GLOBE shoud i type like this? ping< >-n< >50< > http://t.co/q44CiHkvsf 
neutral,,,@talk2GLOBE till when? You must change ur processing time to 10-30days not 3-5days!!! Its not a good thing guys! 
neutral,,,Chatting with Bryan Jill @Talk2Globe I hope his service is much better. 
negative,,,RT @enjoyGLOBE: Give children a chance for better future. Donate P10 GCASH to Bantay Bata & get a chance to win a GalaxyNote2. Info: http:/÷ 
negative,,,Ang hirap magsend tsk tsk hina pa ng signal @talk2GLOBE  #GlobeSabaw 
neutral,,,Sana nre2plyan nyo din ako@talk2GLOBE 
neutral,,,I can't access the internet with my data package. Can anyone help me?@enjoyGLOBE 
neutral,,,I need your help @chrisofglobe @joycofglobe @nelskiofglobe @talk2globe =( I just got my latest bill and there reflected an admin fee... 
neutral,,,"3G area ang Brgy. Quiot, Cebu City? Kindly confirm.  @enjoyGLOBE ty "
negative,,,Wow! Sino yang mga pangalan mention nyo @talk2GLOBE? Puro invalid user! Are you not ashamed of pretending to help imaginary people?! 
negative,,,@talk2GLOBE The Globe bill sent to me for Apr-May is not updated. I already paid previous bills via BDO online. Wer can I find an updated 1? 
neutral,,,...an admin fee of PHP550. I called the hotline and talked to Gerry Hizon... @ChrisOfGlobe @JoyceOfGlobe @NelskiOfGlobe @talk2GLOBE 
neutral,,,...Gerry told me that it was bec I downgraded my plan. I am willing to pay for it... @ChrisOfGlobe @joyceofglobe @NelskiOfGlobe @talk2GLOBE 
positive,,,@talk2GLOBE both numbers include that account number. group plan :) 
neutral,,,Why is it that I am always caught by surprised? @ChrisOfGlobe @JoyceOfGlobe @NelskiOfGlobe @talk2GLOBE 
neutral,,,"@talk2GLOBE I registered June 6, 7:01 PM in my phone. "
positive,,,Thank you talk2globe !! Nakita ko nadin ang 4g signal koo.!:) yeeey @ The Pacific Regency http://t.co/Kqhl37vN3o 
negative,,,@talk2GLOBE how can roaming be activated if one's already in SG? It's postpaid but he can't seem to get a signal. 
negative,,,@talk2GLOBE Ano po ang number na pwede tawagan regarding sa plan? Please answer. #globe 
neutral,,,Worst customer service ever. @talk2GLOBE #Globesabaw 
negative,,,"@talk2GLOBE hi,what's ur terms for replacing a 5 month old iphone 5? -pink lines on camera- see attached http://t.co/H2Y92MUIo8 "
neutral,,,"I never wanted to be a difficult customer. But please, be fair to me, be fair to your clients, esp to the loyal ones.@talk2GLOBE #frustrated "
negative,,,I still havent receive my load tipid!!!  @talk2GLOBE 
neutral,,,@talk2GLOBE i sent you a dm. please check. 
negative,,,@talk2GLOBE it's already june but I still haven't receive my bill of notice! How can I pay if i don't know the summary of my expenses?! 
negative,,,3 days later...wala pa din signal. Haaaaay @talk2GLOBE. 
neutral,,,"@talk2GLOBE Hi, any updates? "
negative,,,LTE/4G powered!! Thanks talk2globe . Its worth the wait.. @ The Pacific Regency http://t.co/XwA9iZmtIG 
neutral,,,@talk2GLOBE this is your LTE? 0KB/sec? Lol!! http://t.co/ygJ36BRfT8 
negative,,,Hanggang ngayon wala pa ring connection. Pak u @talk2globe 
neutral,,,@talk2GLOBE @DeniseOfGlobe Loyal Globe kasi ako since elem.. 
neutral,,,Time to pay bills. (@ Globe Business Center - @talk2globe) http://t.co/g9kUMN3a6z 
neutral,,,@talk2GLOBE ive activated my roaming but my sim card does not work.cell number 9065786206 
negative,,,@talk2GLOBE why my bill is 1.7k? My bill last month was payed. I'm kinda disappointed. 
neutral,,,@talk2GLOBE...how to avail anti shock bill for postpaid? 
negative,,,@talk2GLOBE sending messeges take 5 minutes now huh. Wtf globe?!! Labo niyo! 
positive,,,Got my SM GC reward from Globe yesterday. Thanks @enjoyGLOBE! @chc_28 http://t.co/lmVtMiv6Mr 
neutral,,,@enjoyGLOBE my globe sim card does not work on roaming.pls help. 
negative,,,@DeniseOfGlobe @talk2GLOBE Are you sure this is not an inside job na you're using this share a load trans of yours to rob your subscribers? 
neutral,,,@talk2GLOBE  worst customer service ever!!! 
neutral,,,@talk2GLOBE My sim card doesnt work on roaming.pls help. 
neutral,,,@extremeaudacity @talk2GLOBE i agree to some degree. 
negative,,,@DeniseOfGlobe @talk2GLOBE And are you saying na I have to pay that kahit hindi yung subscriber ang may gawa niyan? 
neutral,,,"The representatives of @talk2GLOBE are even lousier albeit the system has been upgraded daw, tsk (cont) http://t.co/Vvll7aj35Y "
negative,,,Nababad trip na naman ako sa signal ng globe ha! @Talk2globe 
negative,,,Nababad trip na naman ako sa signal ng globe ha! @Talk2globe 
negative,,,Sa labas ng bahay may signal pag pasok ng bahay nganga na naman!! Kelan kaya magkakasignal ng maayos ang #globesabaw @talk2GLOBE 
negative,,,@talk2GLOBE ang hina hina ng signal nyo dito sa tandang sora! Nakakainis! 
negative,,,"nkkloka kayo lahat ng hcannels nyo wlang na itulong skin... twitter,globechat even the website... @talk2GLOBE "
negative,,,lahat ng channels nyo wlang naitulong skin kninang umaga pa ko nag tweet pero walang reply.. mga nyeta kayo...@talk2GLOBE 
neutral,,,hello knina p ko nag tweet at hndi kayo ngrereply 
neutral,,,Beware of @talk2GLOBE share a load system. They just robbed me off of 1k w/out my knowledge.And this isn't the 1st time that it has happened 
negative,,,"Internet users around globe find US snooping unsurprising, but still worry about trend [#Telecom] http://t.co/HtjCt5svuL "
positive,,,Ï@talk2GLOBE: @jplovesjen Thank you as well. We're always here to help. #GlobeGlad2ServeÓmy sim card doesnt work.it was activated. 
neutral,,,@talk2GLOBE pwede na bang mag migrate ang plan 1799 sa New Super Plan? 
neutral,,,@enjoyGLOBE What's your latest promo? 
neutral,,,It's been 9 days! @enjoyGLOBE @GlobeTelecomPH  @talk2GLOBE  still no #LTE signal on my #htcone ? 48 hrs is up. 
neutral,,,@talk2GLOBE hi I am using SGS4 i just got it last month they said it is LTE ready how come I am not seeing LTE signal especially in makati? 
neutral,,,@justcallmelloyd @cyonfire Nako @talk2globe talaga hahaha! 
neutral,,,https://t.co/Pf5qO96Gdz @talk2GLOBE 
negative,,,@chrismagsino @talk2GLOBE It's frustrating to call them repeatedly about the same concern that don't get resolved. 
neutral,,,Since I'm bored here I'll watch 'Now You See Me' nalang sa Centrio using Globe Rewards @enjoyGLOBE 
neutral,,,'Our system has detected that multiple promo registrations were sent from your account.' @talk2GLOBE really now? Bihira nga to eh. #FML 
negative,,,"@JenOfGlobe now that's the awesome customer service i've been waiting for! thank you very much Jen! @talk2Globe, give her a raise! "
neutral,,,"@talk2GLOBE every night, yes :( and also when it's raining "
neutral,,,"@talk2GLOBE When will I get a reply from you? Answer me, please? "
negative,,,@talk2GLOBE it's been two days and I still cant recv sms and text! Please namn resolve this right away.I gave my globe number to my clients! 
negative,,,"@talk2GLOBE Same problem. Slow internet connection of Globe here at our place. I was asked by other 3 Globe workers, but nothing worked. "
negative,,,pls do reply s concern ko lahat ng channels walang kwenta kninang umaga p ako 
negative,,,Saan pwede tumawag for postpaid plans? Inquiry palang po. @talk2GLOBE @DeyOfGlobe @RjOfGlobe @JenOfGlobe @TemOfGlobe 
neutral,,,"I need answers, please. @talk2GLOBE @DeyOfGlobe @RjOfGlobe @JenOfGlobe @TemOfGlobe "
negative,,,Napakawalang kwenta ng after sales services ng Globe Telecom. I need a solution. Not advertisements on your GT hotline. 
negative,,,@talk2GLOBE  Hi sir Good Afternoon.. gusto ko lang po i follow-up ung wimax plan ko. kasi mukhang hindi pa na-activate sa 1mpbs. 
positive,,,"@enjoyGLOBE Good day mam/sir, wlang signal po ung Globe Tattoo n USB.:( D2 s deparo Caloocan area.Hehe..:) "
neutral,,,@JoyceOfGlobe @KirkOfGlobe @KenOfGlobe @IanOfGlobe @talk2GLOBE @JohnOfGlobe @DeniseOfGlobe any updates? 
negative,,,@talk2GLOBE  hey i was able to use my personal hotspot sa iphone for about a year na. Nawala lang since di ko nagamit globe for a month :( 
positive,,,"@talk2GLOBE  model serial no. ko po last 5 digit 12955. thanks po.. reply po kung ok na, "
negative,,,@talk2GLOBE i requested for simcard replacement last 06/2/13. It is still inactive until today. 
negative,,,ngayon may dumating na bill amounting to 2k+ ?! Halos hindi ako tumatawag/nagtetext tapos ganyan?! Go to hell people of @talk2GLOBE ?????? 
neutral,,,My god need ur reply since day 1 !!! @talk2GLOBE 
neutral,,,"@MariaofGlobe @talk2GLOBE hi, may I request for an updated e-notice. I received a notice today and it is not yet updated. "
neutral,,,"@talk2GLOBE hi, can i ask something? "
neutral,,,Yan ang concern ko knina pang umaga anyone????? @talk2GLOBE @KenOfGlobe @NelskiOfGlobe @MariaofGlobe http://t.co/WJ1PXoqBVD 
neutral,,,"@DeniseofGlobe @talk2globe #mglobe. Yep. Until now. It started last 3 days. What should I do? This is my number 09173363734, Loc Taguig City "
neutral,,,@talk2GLOBE ok lng po ba yung i convert ang plan ? 
positive,,,@talk2GLOBE I have dms for you. Thanks. 
negative,,,@talk2GLOBE bad service bad service bad service 
negative,,,Love iiittt 3G @enjoyGlobe @ek_philippines ;)) 
negative,,,@enjoyGLOBE punyeta kelan ba titino network nyo!???? di kelanman umayos dinaig pa kayo ng sun!!! 
negative,,,Globe Telecom LTE in Makati. Crap. http://t.co/vYORbIlkzn 
neutral,,,@talk2GLOBE kasama ba LTE sa plan 1799 ng iphone5? 
negative,,,@talk2GLOBE my dad's mobile working already. Our broadband na lang. Thanks! 
negative,,,@talk2GLOBE that effin 2123 FB notification I'm getting is eating up my prepaid credit balance!!! When are you going to fix this? You sucks! 
negative,,,"Lakas makapangloko ng mga subscribers! @talk2GLOBE, babagsak din kayo! Tiwala lang! @FashionPulis oh! Bad telecomm! ???? "
negative,,,@kaiwithcutenose no. i cant text and I still cant use my BB Social because of @enjoyGLOBE nice... its been 2 days already. such discomfort. 
neutral,,,"@RolandOfGlobe. Ref n# 50470912. Payment via globe facility is not safe payment march 26,2013 is missing talk2globe dont care about this. "
negative,,,"@talk2GLOBE I want to know my plan balance, I get this ALL THE TIME and mi-isa walang akong natanggap. http://t.co/j7KZWmTDae "
negative,,,@talk2GLOBE  got bad signal here in boracay. pangsummer lang ba ang maayos ayos na signal? 
negative,,,Ang bastos ng agent s 211 grabe wala nga naitulong eh yan b ang good service@talk2GLOBE 
negative,,,@talk2GLOBE my dad's mobile is working already. Our wifi nalang. Thanksss! 
negative,,,@talk2GLOBE hindi magamit ng kaibigan ko yung unli calls niya. Pahelp naman. 
neutral,,,Terrible 3g signal! :( @enjoyGLOBE 
